order_id;customer_id;order_date;order_value
O00001;C0001;14/01/2023;43,1
O00002;C0002;27/01/2023;66,4
O00003;C0003;09/02/2023;89,9
O00004;C0004;22/02/2023;113,6
O00005;C0005;07/03/2023;137,5
O00006;C0006;20/03/2023;161,6
O00007;C0007;02/04/2023;182,2
O00008;C0008;15/04/2023;26,7
O00009;C0009;28/04/2023;47,7
O00010;C0010;11/05/2023;72,6
O00011;C0011;24/05/2023;94
O00012;C0012;06/06/2023;119,3
O00013;C0013;19/06/2023;141,1
O00014;C0014;02/07/2023;163,1
O00015;C0015;15/07/2023;185,3
O00016;C0016;28/07/2023;31,4
O00017;C0017;10/08/2023;54
O00018;C0018;23/08/2023;76,8
O00019;C0019;05/09/2023;99,8
O00020;C0020;18/09/2023;123
O00021;C0021;01/10/2023;146,4
O00022;C0022;14/10/2023;166,3
O00023;C0023;27/10/2023;190,1
O00024;C0024;09/11/2023;34,1
O00025;C0025;22/11/2023;58,3
O00026;C0026;05/12/2023;79
O00027;C0027;18/12/2023;103,6
O00028;C0028;31/12/2023;124,7
O00029;C0029;13/01/2024;149,7
O00030;C0030;26/01/2024;171,2
O00031;C0031;08/02/2024;196,6
O00032;C0032;21/02/2024;38,5
O00033;C0033;05/03/2024;60,6
O00034;C0034;18/03/2024;82,9
O00035;C0035;31/03/2024;105,4
O00036;C0036;13/04/2024;128,1
O00037;C0037;26/04/2024;151
O00038;C0038;09/05/2024;174,1
O00039;C0039;22/05/2024;197,4
O00040;C0040;04/06/2024;40,9
O00041;C0041;17/06/2024;64,6
O00042;C0042;30/06/2024;88,5
O00043;C0043;13/07/2024;112,6
O00044;C0044;26/07/2024;133,2
O00045;C0045;08/08/2024;157,7
O00046;C0046;21/08/2024;178,7
O00047;C0047;03/09/2024;23,6
O00048;C0048;16/09/2024;45
O00049;C0049;29/09/2024;70,3
O00050;C0050;12/10/2024;92,1
O00051;C0051;25/10/2024;114,1
O00052;C0052;07/11/2024;136,3
O00053;C0053;20/11/2024;162,4
O00054;C0054;03/12/2024;185
O00055;C0055;16/12/2024;27,8
O00056;C0056;29/12/2024;50,8
O00057;C0057;12/01/2023;74
O00058;C0058;25/01/2023;97,4
O00059;C0059;07/02/2023;117,3
O00060;C0060;20/02/2023;141,1
O00061;C0061;05/03/2023;165,1
O00062;C0062;18/03/2023;189,3
O00063;C0063;31/03/2023;30
O00064;C0064;13/04/2023;54,6
O00065;C0065;26/04/2023;75,7
O00066;C0066;09/05/2023;100,7
O00067;C0067;22/05/2023;122,2
O00068;C0068;04/06/2023;147,6
O00069;C0069;17/06/2023;169,5
O00070;C0070;30/06/2023;191,6
O00071;C0071;13/07/2023;33,9
O00072;C0072;26/07/2023;56,4
O00073;C0073;08/08/2023;79,1
O00074;C0074;21/08/2023;102
O00075;C0075;03/09/2023;125,1
O00076;C0076;16/09/2023;148,4
O00077;C0077;29/09/2023;171,9
